Course, Module , Feedback
Machine Learning,Module 01,"example gula sir j dekhailo oigula agei kora chilo .. jodi emon hoto j - jei problem gular statement deya ache sir oita solve korto ar bujhaite thakto taile subidha hoito bujhte !
age theke kora thakle bujhte ektu osubidha hoy
"
Machine Learning,Module 01,Easy to understand.I haven't faced any problems so far.
Machine Learning,Module 01,Good 
Machine Learning,Module 01,I think the instructor's  explanation was very clear and easy to understand and good paced to understand                                                                                                                                                                                                 some improvements you can do:                                                                                                                     1. give out the the codes written  by instructor as a pdf or other format; in that way i can understand it faster as i can watch code and teachers explaination at the same time;                               2. the exercise or homeworks mentioned should be given out also in pdf or other format                 3. suggest us some more available recourses on the internet to study                                                4. And i small request for students who have not done or learnt dsa properly pls suggest  us some playlist or resources to practice from through a fb post or web page notification;            
Machine Learning,Module 01,"I understand well,but I think if you provide some practice problems which we will solve using python,,it can be python problem solving,or it can be like the quiz test,that will give me confidence in python language "
Machine Learning,Module 01,"Please share the lecture notes in PDF format, if possible or ethical  "
Machine Learning,Module 01,"If there are too many things on the screen, our focus gets distracted. I would highly recommend use a slide to teach us instead of showing too many lines and going through each of them. That would be more interesting and fun to learn such topics. "
Machine Learning,Module 01, It would be better if the explanations were written step by step with code.
Machine Learning,Module 01,Alhamdulillah theory gulo Valo bujchi. Kintu amar mone hoy code er part gula ektu details alochona korle Valo buja jeto.
Machine Learning,Module 01,"1. SimpleImputer, Modified Z-Score, and data visualization code (Spread of Customer Purchases) were not explained properly which is a bit frustrating. 
2. Early access was not given."
Machine Learning,Module 01,class besi theory type hoye gece..code gulo jodi ager moto kore vedio sathe sathe lekhe korale valo hoi..code kore bujale best hoi..ager class gulo jemon chilo
Machine Learning,Module 01,Class is wonderful. Explain everything very shortly and easily. But it would be great if you provide some extra resource/pdf or something to self study and explore more regarding topics.
Machine Learning,Module 01,Too fast for beginners 
Machine Learning,Module 01,Good
Machine Learning,Module 01,"With due respect, I acknowledge that the Machine Learning instructor demonstrates strong teaching ability and subject knowledge. However, the sessions sometimes resemble a traditional university lecture style, which can feel less engaging. In comparison, the previous Phitron instructor delivered the lessons in a more interactive and captivating manner, effectively maintaining students’ interest throughout."
Image Processing & Object Detection,Module 01,"his code explanation style is so poor, i dont understand the coding section from the lecture "
Python For ML,Module 12,Good
Machine Learning,Module 01,"ajker class ta ame bes enjoy korechi because amar university te already statistic course comple hoyecha. but notun der kisu ta problem hole o hote pare, ai topic gulo khata kolom e math korle aro beshi poriman bujha jai. amar kache overall thik thak e mone hoise. sir k bolben jeno joto ta venge venge class newa jai, toto valo. sobar dik bibehona kore r ki..."
Machine Learning,Module 01,"ফর্মুলা গুলো একটু বিস্তারিত আলোচনা করলে ভাল হইত।
"
Machine Learning,Module 01,Ami Instructor unar porano ta bhalo moto bujhtesina.Uni theoritical conceptgula ektu bhalo moto visulization er maddhome bujhacchena.Uni reading pore jacche types kore bujjhache.class gulate temon ekta interest pacchina.
Machine Learning,Module 01,valo lage nai overall.khapsara pora gula.in details  e giye pora gula bujano hoi ni mone hoise bishesh kore z score er part ta
Python For ML,Module 16,The content was interesting. 
Python For ML,Module 02,More practice problem should be added
Machine Learning,Module 01,average
